Name,CW_M22220_Cranium,CW_M1942_Cranium,CW_J6023B_Cranium,CW_J6203A_Cranium,NHNW_B131_Cranium,NHNW_B79_Cranium,NHNW_J13144_Cranium,NHNW_J6239_Cranium,SHNW_M8748_Cranium,SHNW_M8749_Cranium,SHNW_M8952_Cranium,SHNW_M8951_Cranium
X Dorsal patch 48,-1.19809494,68.24271851,-9.054967499,-5.712871552,-11.25970993,-13.22337494,-14.38357697,-16.41516571,45.16547241,-59.69240723,-54.8913208,-74.29882202
Y Dorsal patch 48,457.8797363,-104.0960815,-56.79188232,-96.36644287,-47.29400635,-51.62944946,-39.38519592,-45.40831299,178.0248657,-130.9871826,-134.6112915,173.9412354
Z Dorsal patch 48,-814.9515137,-529.8454102,-1253.348047,-648.2055176,-1252.061035,-996.3338867,-963.0539063,-1239.800586,-875.4435547,-739.2175781,-500.3068359,-496.2708496
X Dorsal patch 47,-34.77510071,47.68599854,-37.63476257,-33.42035828,-40.33518066,-41.41483154,-36.59935608,-40.04825745,24.33461761,-92.57473145,-95.96774902,-110.1471558
Y Dorsal patch 47,572.9977539,17.75226898,75.15932617,26.54371643,67.19907227,60.63754883,68.70789795,67.9480835,278.3076416,-26.47041321,-36.29792175,281.1888184
Z Dorsal patch 47,-826.2336914,-549.5403809,-1269.289063,-667.9369141,-1279.028613,-1022.906934,-984.2040039,-1268.690039,-897.7058594,-753.0830566,-508.2285156,-500.2941895
X Dorsal patch 46,-22.99268951,56.62324219,-19.51105957,-18.2399765,-29.53084412,-25.55879974,-22.47737885,-23.58660278,35.72705383,-72.97484741,-82.8585022,-89.15968628
Y Dorsal patch 46,595.3843262,37.19075623,96.59530029,50.82327881,95.28052368,88.57896118,94.03624268,93.64724731,302.1375488,-2.848478889,-7.990833282,307.7376953
Z Dorsal patch 46,-806.5967285,-532.2943848,-1252.044238,-651.1430664,-1259.276758,-1005.376758,-964.6035156,-1246.778125,-874.1040039,-735.9249023,-493.2003906,-485.112793
X Dorsal patch 45,-13.26294861,63.27009888,-5.767256927,-6.903985596,-11.8103241,-11.70262985,-9.659532166,-7.691249084,46.61246033,-61.24061279,-69.64678345,-74.16622314
Y Dorsal patch 45,604.240625,43.95518494,103.2143677,56.53005981,107.3748413,100.1732361,103.4900391,104.0634155,311.2976807,7.317922211,4.822062683,317.4607178
Z Dorsal patch 45,-797.4147461,-521.7069336,-1243.602441,-642.7109375,-1250.838867,-997.0981445,-960.7727539,-1238.544824,-868.5446289,-734.7310059,-492.8333496,-484.220752
X Dorsal patch 44,-21.77315521,48.56448364,-25.59803619,-22.89059753,-33.41192627,-34.42657776,-31.37261047,-33.83878174,26.26946716,-76.94748535,-76.03618774,-94.3442749
Y Dorsal patch 44,512.9346191,-45.23121033,10.53894196,-37.38600769,9.899562836,5.543955612,15.81345215,11.35083694,227.0979736,-81.18980103,-87.10670166,222.0066162
Z Dorsal patch 44,-801.928125,-522.1850098,-1242.237891,-637.9093262,-1249.098828,-991.4230469,-959.1912109,-1233.30166,-872.3313477,-726.4539063,-485.4862305,-482.4004395
X Dorsal patch 43,-4.321264648,63.30855103,-7.378772736,-3.929476547,-6.126194382,-6.765939331,-6.884972382,-5.538362503,45.97789917,-55.09332275,-55.18081055,-70.19533691
Y Dorsal patch 43,534.6479004,-24.83651733,32.1525177,-13.44635468,31.84713135,23.80966644,33.05595093,29.68001709,241.0154785,-65.39162598,-68.78077393,240.4411621
Z Dorsal patch 43,-797.7664063,-511.144873,-1237.81748,-632.6095703,-1248.360254,-991.0170898,-956.4976563,-1234.725684,-866.2807617,-727.8753418,-487.0541992,-484.6115234
X Dorsal patch 42,-5.418436432,62.25964355,-9.08103714,-6.406653595,-9.360687256,-11.11786118,-11.97017899,-10.47473373,42.85282898,-58.02787476,-57.15163574,-73.46812744
Y Dorsal patch 42,514.6714355,-42.45661926,11.59309464,-32.65795593,12.15477142,5.541495132,15.92362366,10.80639572,222.4636719,-86.21408691,-88.43623047,220.0529541
Z Dorsal patch 42,-797.8082031,-513.8684082,-1240.44668,-634.8355957,-1246.03252,-991.4459961,-955.6461914,-1233.591602,-868.0538086,-727.4877441,-487.5665527,-485.1250977
X Dorsal patch 41,-9.986987305,59.19521484,-12.72072144,-11.21294708,-15.62846527,-17.36459656,-19.02384949,-17.652565,38.82077637,-64.10352783,-62.64973755,-79.79455566
Y Dorsal patch 41,504.1191406,-51.95524292,1.025402164,-44.78587036,-0.055054712,-4.110715485,5.717364502,0.791295195,216.103125,-92.97455444,-96.72451172,211.6926758
Z Dorsal patch 41,-800.9172852,-517.6486816,-1242.915137,-636.5621094,-1249.058887,-994.4586914,-958.4079102,-1235.955176,-870.7195313,-729.737793,-489.479541,-486.6638672
X Dorsal patch 40,-10.66233139,58.68068848,-13.36433411,-9.784262848,-16.56660004,-15.36400299,-14.2413208,-14.51485443,38.87240295,-61.46348267,-61.34680786,-77.80722656
Y Dorsal patch 40,531.9656738,-27.20709839,30.03092041,-16.2803009,29.84490051,22.07606201,31.70267029,28.49739075,240.2204102,-66.65279541,-70.89758911,238.6395264
Z Dorsal patch 40,-795.823291,-513.7239746,-1237.986035,-633.0166504,-1247.341309,-989.2426758,-956.6039063,-1232.613086,-866.5804688,-726.5004395,-485.1775391,-482.037207
X Dorsal patch 4,-0.045035475,66.27611694,-4.510684204,-1.550251102,-1.046519184,-3.60971489,-4.138351059,-2.631111717,48.88263855,-51.90949707,-51.20445557,-66.34979858
Y Dorsal patch 4,518.2765625,-39.10154114,15.14199982,-28.22766418,16.50141907,8.627536774,18.61216583,13.86025696,223.7366699,-84.32703247,-85.29674072,222.9875
Z Dorsal patch 4,-796.943457,-511.422168,-1239.791504,-633.8212402,-1248.875684,-993.5729492,-956.4661133,-1236.530957,-867.3479492,-729.1785156,-490.1022461,-486.6126465
X Dorsal patch 39,-15.97838593,53.40612793,-18.57587585,-16.5729187,-23.70161285,-25.56929474,-25.87782898,-25.39762878,32.3238739,-70.99351196,-69.9295105,-87.7376709
Y Dorsal patch 39,507.7066406,-48.50192261,5.263520813,-41.98232727,3.147210884,-0.592172527,9.614611053,4.586233521,220.5840088,-88.1755127,-93.13789063,215.1488281
Z Dorsal patch 39,-801.1114258,-519.2710938,-1242.316895,-637.2142578,-1249.337012,-993.2831055,-958.3401367,-1234.710547,-871.2549805,-727.5181641,-487.1317383,-484.6560547
X Dorsal patch 38,-15.6885849,57.83482666,-14.77682495,-11.16626511,-14.54850006,-15.16376038,-13.13783417,-11.66553879,40.35059814,-61.73580322,-67.40262451,-78.58479004
Y Dorsal patch 38,566.4608887,9.473760986,67.25756226,21.82754974,65.35455933,57.75771484,65.80959473,62.10807495,272.715332,-31.16864624,-35.22697144,276.6248291
Z Dorsal patch 38,-797.6599609,-518.253125,-1242.631445,-638.912793,-1249.085059,-992.6879883,-957.8279297,-1236.858984,-868.2660156,-728.587793,-486.8790039,-482.042041
X Dorsal patch 37,-6.231262207,68.74832153,-0.458942413,-0.362967992,-2.998009682,-3.881380463,-3.318837357,0.650743008,51.7744751,-56.14584351,-63.50786133,-68.90625
Y Dorsal patch 37,603.3948242,42.81585693,101.5570129,55.1772522,107.8764404,100.2884521,103.1203125,101.9867065,310.8636719,6.961140442,5.717238235,316.7979492
Z Dorsal patch 37,-796.3679199,-519.8912598,-1244.963184,-642.410791,-1250.790723,-996.9206055,-961.6214844,-1238.556348,-866.4168945,-734.2706543,-494.8666016,-485.6849609
X Dorsal patch 36,-4.285255051,66.6020752,-3.396017075,-1.063998699,-1.374416924,-3.453789902,-3.983546448,0.014881876,50.20318909,-54.21733398,-57.40592651,-68.35343018
Y Dorsal patch 36,567.9886719,10.04184341,67.13533325,22.31589355,64.97480469,58.36159058,66.14874268,61.42670288,273.2035645,-30.45110168,-33.10746765,277.2514893
Z Dorsal patch 36,-797.0197754,-514.0284668,-1243.787988,-638.812793,-1252.430273,-993.0196289,-957.399707,-1236.480078,-865.6945313,-730.1961426,-488.7787598,-486.0588867
X Dorsal patch 35,-8.326152802,61.80795898,-9.386083221,-5.605895615,-7.871613312,-8.490786743,-7.970996094,-6.080124664,45.05006409,-56.7057373,-58.02682495,-71.79980469
Y Dorsal patch 35,549.7961426,-8.861747742,48.88305054,3.127496529,46.66557922,38.9252533,47.8055603,44.12979736,255.7429932,-49.04217224,-53.24193726,256.9438477
Z Dorsal patch 35,-795.258252,-512.4992188,-1239.536816,-634.2824707,-1248.430273,-990.3573242,-957.0731445,-1234.738867,-866.5357422,-726.5587402,-486.5116211,-483.4620117
X Dorsal patch 34,-36.50357666,45.54663086,-38.39842529,-34.42098999,-43.65882874,-43.85349731,-38.78075562,-42.14118347,21.86945496,-93.24584351,-97.52229614,-110.8635132
Y Dorsal patch 34,578.4318359,23.03073273,82.42081909,33.28885803,73.16982422,66.71987305,74.65968628,74.36893311,283.5295654,-21.18433075,-30.64232483,287.0795654
