Name,CW_M22220_Cranium,CW_M1942_Cranium,CW_J6023B_Cranium,CW_J6203A_Cranium,NHNW_B131_Cranium,NHNW_B79_Cranium,NHNW_J13144_Cranium,NHNW_J6239_Cranium,SHNW_M8748_Cranium,SHNW_M8749_Cranium,SHNW_M8952_Cranium,SHNW_M8951_Cranium
Y Dorsal patch 84,578.9345703,22.96010895,82.34119873,33.06036987,74.17523804,68.11439819,75.07567139,76.1605896,283.5092041,-21.04916534,-32.44073486,286.4900635
Z Dorsal patch 84,-822.1020508,-547.7662598,-1263.221777,-662.3712402,-1276.770313,-1018.150391,-981.0197266,-1260.437402,-894.5526367,-744.940332,-501.8310547,-491.7003906
X Dorsal patch 83,0.547443247,67.03613892,-3.980386353,-1.526217937,-0.600165462,-3.080045891,-4.312626648,-2.48978653,49.59111938,-52.29246216,-50.59115601,-65.87212524
Y Dorsal patch 83,510.6096191,-46.31209106,7.49444046,-35.27201843,8.389142609,1.997876167,11.73063126,6.490200806,217.3815186,-90.3242981,-92.00963745,215.4402832
Z Dorsal patch 83,-798.4355957,-512.3335938,-1240.791406,-634.3807129,-1248.456738,-993.3404297,-957.3331055,-1235.463672,-867.8466797,-730.7209473,-491.1870117,-487.2855469
X Dorsal patch 82,-29.40224915,50.73435059,-31.46495667,-27.91140442,-33.96054688,-35.22928772,-30.11559753,-32.80864868,27.50219116,-85.07492676,-90.20501709,-102.5534546
Y Dorsal patch 82,576.4550781,20.77332153,78.99700317,31.73598938,72.85979004,65.61522827,73.0493103,70.79772949,280.020166,-24.36654968,-31.50569458,285.5182373
Z Dorsal patch 82,-818.1422363,-541.9782227,-1262.978906,-660.0074707,-1268.336133,-1013.154395,-975.7616211,-1258.847949,-887.2318359,-742.7991211,-501.2861328,-491.6858398
X Dorsal patch 81,-14.40061493,56.65510254,-15.74612122,-11.94236755,-20.54586639,-18.69309845,-16.20186615,-17.42583466,36.1937561,-63.81506958,-63.69318848,-80.21953735
Y Dorsal patch 81,537.2473145,-21.95761261,37.17969971,-9.720750427,34.29422302,26.94750366,36.44190674,34.14890137,246.3973633,-60.82738037,-64.99940186,244.642334
Z Dorsal patch 81,-795.9646973,-514.775293,-1238.903613,-633.4570801,-1245.790039,-988.3068359,-956.5107422,-1232.441602,-866.8202148,-723.8555176,-484.942627,-480.6543945
X Dorsal patch 80,-28.31937256,52.39606934,-28.17205505,-24.37800446,-34.1905304,-33.85886841,-28.898526,-30.99486694,29.46114502,-82.01581421,-90.00129395,-99.50254517
Y Dorsal patch 80,589.7312988,33.44225464,92.36351929,46.45737,88.78627319,81.31038208,88.0819458,86.70800781,295.8093994,-7.590350342,-15.6428894,303.0549561
Z Dorsal patch 80,-814.9564453,-542.0396484,-1261.934375,-660.0776367,-1265.478711,-1009.019043,-970.5795898,-1256.133301,-881.4620117,-741.1834473,-497.3853027,-487.5857422
X Dorsal patch 8,-30.65009155,51.10797119,-27.20402527,-25.2282196,-37.03841248,-36.01758423,-30.60519409,-32.61880798,32.25617065,-81.2354248,-91.60512695,-96.28811646
Y Dorsal patch 8,606.4541504,46.83085327,106.7095825,61.56052856,106.4030762,98.60903931,105.0953491,104.8219482,313.3634033,9.625270081,0.708618259,319.6191406
Z Dorsal patch 8,-811.027002,-539.5970703,-1257.087012,-657.422168,-1264.066113,-1008.034473,-969.1817383,-1253.773242,-878.0162109,-739.2225098,-495.3216309,-483.9563965
X Dorsal patch 79,-30.13528748,51.59664917,-27.63651123,-25.55684357,-37.68803101,-36.50500793,-31.14944153,-33.69863281,30.615802,-83.30869751,-92.8770752,-99.05395508
Y Dorsal patch 79,600.9026367,42.56969299,101.835437,56.05373535,100.7451172,92.94202881,99.88465576,99.31505737,307.7651123,4.199115372,-4.567118454,314.2676758
Z Dorsal patch 79,-813.5131348,-542.3212891,-1260.482422,-660.7071777,-1265.591504,-1009.305078,-970.8550781,-1255.58877,-880.2700195,-740.982959,-496.1310059,-485.6594238
X Dorsal patch 78,-4.945466995,62.65683594,-8.110847473,-5.681965256,-8.506495667,-9.477445984,-9.497649384,-8.509957123,44.11626892,-56.94976807,-56.08590088,-72.20879517
Y Dorsal patch 78,520.7797363,-37.28097534,19.0129715,-25.7841156,18.92093201,11.78603592,21.31237793,17.50650177,228.5415771,-79.29931641,-81.6585144,226.6084229
Z Dorsal patch 78,-796.9343262,-512.7681152,-1239.088086,-633.5155273,-1247.435352,-991.3334961,-955.9865234,-1233.892969,-867.0136719,-726.505127,-487.2645996,-484.8449219
X Dorsal patch 77,-19.59504852,52.95899048,-20.76020355,-16.57613831,-28.81841431,-25.96358337,-21.76042938,-24.91956482,30.31179504,-69.60836182,-69.04125366,-86.28671265
Y Dorsal patch 77,536.7500977,-22.55269165,37.22467346,-10.54794769,33.84144897,27.05728455,36.62301636,34.96164551,247.8175049,-60.17079468,-65.05370483,244.9551758
Z Dorsal patch 77,-797.0364258,-516.994873,-1240.523047,-634.7294922,-1244.082813,-989.0793945,-956.9044922,-1231.481543,-868.9986328,-723.8804199,-484.2200684,-479.1325195
X Dorsal patch 76,-15.34996033,54.26392822,-17.97893219,-15.39933929,-26.32357788,-25.43404388,-22.89933014,-25.01067505,31.69790039,-69.13894043,-68.18511963,-85.64755249
Y Dorsal patch 76,519.9537109,-39.06262512,18.21865692,-28.20660095,17.36700439,11.91190567,21.50788879,18.59592743,231.5638184,-76.70266113,-81.04906006,227.7583252
Z Dorsal patch 76,-797.7225586,-516.7770508,-1239.709863,-635.3350586,-1245.420703,-988.2138672,-955.4161133,-1229.626074,-867.0453125,-723.6568848,-484.2861816,-479.8754395
X Dorsal patch 75,-41.08797607,41.46156616,-43.84651794,-38.97578735,-49.24305115,-49.61520691,-44.3693634,-48.3418457,18.42381592,-98.18218994,-101.0494873,-115.8147217
Y Dorsal patch 75,577.0009766,21.69206085,80.66808472,31.01112366,72.02945557,64.45331421,72.83616333,72.91678467,282.210791,-22.89578705,-33.20563354,285.2180664
Z Dorsal patch 75,-824.3160156,-549.7081055,-1268.119043,-665.8150391,-1278.753418,-1020.550781,-982.6418945,-1265.422363,-896.7174805,-749.2471191,-506.2189941,-496.7761719
X Dorsal patch 74,-31.02744141,50.01342468,-34.35033569,-30.03406982,-36.18668823,-37.78397827,-33.00514526,-35.64287415,27.07381287,-87.88918457,-92.10717773,-106.2372803
Y Dorsal patch 74,573.7700195,17.99556732,75.69057007,27.65606995,69.19195557,61.97830811,69.30076294,67.35770874,277.6193359,-27.49834595,-35.3457489,281.6474609
Z Dorsal patch 74,-822.5041016,-545.660498,-1266.686523,-664.2535156,-1273.629297,-1018.098633,-980.4803711,-1264.502148,-893.06875,-747.6307129,-505.8577637,-496.3599121
X Dorsal patch 73,-10.19552917,58.36940308,-12.91779785,-10.57114868,-17.12140503,-17.35467377,-16.47373352,-16.66939392,38.0026123,-63.0270813,-62.21773682,-79.18991699
Y Dorsal patch 73,518.1152832,-39.96364746,16.44717255,-29.01929932,15.82704315,9.833605957,19.31534271,15.83725586,228.0810791,-80.2039856,-83.4954834,224.9126709
Z Dorsal patch 73,-797.2864746,-514.757959,-1239.497656,-634.6491211,-1246.825391,-990.1162109,-955.5367188,-1231.906738,-867.1945313,-724.9131836,-485.8634766,-483.0814941
X Dorsal patch 72,3.648198318,71.80462646,-4.195793533,-0.466778564,1.104878616,-2.698163223,-4.479478836,-4.536375809,51.05762329,-51.59857178,-46.75089111,-65.13737183
Y Dorsal patch 72,460.5121582,-100.5953613,-53.89816895,-92.35812988,-43.45170288,-48.30286865,-36.80430603,-42.90581665,181.4213501,-128.1944824,-130.5775391,176.9815308
Z Dorsal patch 72,-813.3583984,-524.9989746,-1250.243945,-645.7756836,-1251.702734,-995.7987305,-962.5942383,-1237.913965,-872.8039063,-738.6882324,-499.6634766,-496.0120605
X Dorsal patch 71,-27.21712952,53.75668945,-22.72500763,-21.10234528,-31.46895142,-31.47486267,-26.61674805,-28.4694397,35.74479065,-76.3625061,-86.81187134,-90.5578186
Y Dorsal patch 71,609.1074219,48.79343567,108.9150757,63.38997803,109.491333,101.296167,106.0603394,106.0387695,315.0166748,10.81479187,3.585297394,322.109375
Z Dorsal patch 71,-807.1101563,-534.8051758,-1253.049707,-652.9796387,-1258.625293,-1004.536426,-964.7848633,-1248.556445,-874.6558594,-737.0008301,-494.6720215,-482.9999023
X Dorsal patch 70,-25.72756653,53.69664917,-25.4811203,-22.6258194,-30.57610168,-30.35519104,-25.76190186,-28.14481812,30.65565796,-78.26594849,-86.17614746,-95.83707886
Y Dorsal patch 70,584.7495117,28.5997345,87.85714722,42.16450806,84.60195923,77.38377686,83.69367065,81.49708252,291.0009033,-13.27674713,-19.13932343,297.7865234
Z Dorsal patch 70,-811.3661133,-536.5910645,-1256.606543,-654.6756348,-1261.639355,-1007.098926,-968.2021484,-1251.521875,-878.2404297,-738.029834,-495.6287109,-486.3473145
