Name,CW_NR0718,CW_M1937,CW_M22233,CW_M22220,CW_M11977,CW_M21375,CW_NR1328,CW_NR1351,CW_NR1352,CW_NR1353,CW_NR1609,CW_M1943,CW_M11973,CW_M11,CW_M68,CW_M1942,CW_M11968,CW_M3721,CW_M11976,CW_J11665,CW_J5422,CW_J6203A,CW_J6203B,CW_Wombat_Common,NHNW_B118,NHNW_B131,NHNW_B135,NHNW_B14,NHNW_B40,NHNW_B42,NHNW_B79,NHNW_B93_Anomaly,NHNW_J13143,NHNW_J13144,NHNW_J13145,NHNW_J14051,NHNW_J6239,NHNW_JM12487,NHNW_JM18942,NHNW_JM19739,NHNW_JM2546,NHNW_JM7474,NHNW_JM7475,NHNW_JM8463,NHNW_JM8466,NHNW_SNC1,NHNW_SNC2,SHNW_M8783,SHNW_M8746,SHNW_M8887,SHNW_M8748,SHNW_M8801,SHNW_NR1326,SHNW_NR1348,SHNW_NR1349,SHNW_M8807,SHNW_M8749,SHNW_M8867,SHNW_M8752,SHNW_M8774,SHNW_M8952,SHNW_M8892,SHNW_M8951,SHNW_F_Poor_Teeth,SHNW_Holly,SHNW_J16968,SHNW_J17772,SHNW_Kyle,SHNW_M_Good_Teeth,SHNW_M_Poor_Teeth,SHNW_Mr_Fox
X Zygomatic bone (anterior-superior) R,-50.25050659,31.8918396,-102.8045166,-43.1431366,21.94971161,-106.3479004,-44.23911133,-45.79238586,-52.37940674,-40.66380005,-49.0098938,-101.6887756,-38.55256348,27.44550171,-104.9646362,37.61516724,-105.8934692,9.96424408,-107.3459351,-45.17407227,-44.57948608,-45.72801819,-45.78621826,-43.65347595,-47.40092773,-57.30065918,-58.63065186,-55.5795166,-55.4515564,-56.51581421,-56.70750122,-57.35682373,-49.92873535,-50.82610474,-54.7831543,-54.58235474,-56.70978394,-45.7822876,-51.12884827,-56.51722412,-59.59573975,-54.20666504,-58.44508667,-53.37485352,-63.896521,-53.94551392,-46.49487305,18.15611115,-105.5738159,-61.6192749,11.12095642,-107.5891968,-46.28882446,-44.73681335,-48.35752258,23.2244278,-100.9984985,-48.96262817,-105.4033081,19.11244812,-99.57662354,10.87080307,-119.0439697,-46.94208679,-40.79259949,-42.731073,-41.92930908,-43.66805725,-55.61600952,-35.77774048,-34.42949829
Y Zygomatic bone (anterior-superior) R,57.1234436,-46.21020203,-41.31995239,527.6303223,240.4866455,255.0897705,26.75375977,69.78959961,37.34503784,9.766264343,5.851330948,-64.12861328,526.5398926,244.2204102,245.5842285,-30.08566895,-25.01102295,272.0437744,267.0699219,24.82355347,31.24590454,-20.66903687,26.01758728,15.05995483,24.10868683,23.3761322,23.66673126,25.25940857,26.67885742,27.33881226,20.75467072,20.88684692,35.44836121,30.90245361,28.81787415,32.21578674,23.7714798,40.07551575,-24.45565033,-12.65248947,53.55701294,-13.15889282,39.25798645,19.53534088,33.48876343,25.6719696,35.58456116,-46.48425293,-43.78788452,494.8506348,246.6312744,245.115918,49.83676147,49.74485168,50.00380554,-45.26409607,-61.88256836,491.9187988,236.1909912,-51.54473267,-71.4541748,241.2769775,241.1700195,-25.44059753,2.627300072,31.93960266,38.32190552,-14.86970367,-24.76060028,-48.33796997,-35.31747742
Z Zygomatic bone (anterior-superior) R,-249.4518311,-813.4408691,-796.1022949,-817.747998,-814.2350098,-797.6834473,-544.8215332,-604.0237305,-962.4730469,-223.4797363,-872.3980469,-767.5171387,-787.9104492,-788.7860352,-767.398877,-540.0370605,-521.9899414,-546.2140625,-522.8329102,-1263.504688,-1268.067969,-653.0244141,-1255.041895,-849.3186523,-1258.821973,-1271.671484,-1024.179004,-1260.095117,-1272.160156,-1273.353711,-1010.464746,-1281.876953,-1263.972363,-976.6063477,-1259.454883,-1257.309375,-1253.703809,-1263.391406,-958.3291992,-948.0015625,-1271.15293,-929.0222656,-1262.658301,-1258.485059,-1005.802637,-1006.004492,-1272.659766,-887.3579102,-868.8586914,-883.6327148,-892.3303711,-860.7483398,689.2905273,374.12854,995.7089844,-763.276123,-738.7586426,-758.944043,-743.3302246,-520.8322754,-498.9171387,-525.0290039,-491.4083984,-840.7299805,-903.202832,-1256.147949,-1259.943262,-1005.533203,-863.6410156,-852.7198242,-887.1134766
X Zygomatic bone (anterior-superior) L,44.73161926,111.6659302,-8.07131424,47.25877686,99.63726807,-11.75909653,44.15626221,46.76044922,37.6868866,46.30539246,46.17431335,-18.97386017,48.79272766,95.77449951,-17.99164734,111.2799561,-10.32304382,103.5545898,-30.61422119,45.6403717,45.352005,47.92697144,44.20310974,46.78084412,49.84681702,59.10010986,53.03226318,51.48132935,54.9826355,57.90172119,55.99552002,53.74899292,47.75090027,47.66948547,49.14891357,52.10803223,57.79086914,50.79373169,49.19949951,59.2217041,57.21625366,54.90351563,55.76279297,49.00959167,51.58309326,56.71951904,47.13708191,113.3640747,-14.99072266,29.86351929,100.3794006,-24.64317627,43.19612732,51.16802063,45.14093933,119.2567749,-10.42433624,43.0949707,-12.25589828,108.5091431,-10.00193405,101.3062317,-21.76693878,48.83815613,44.69159851,43.46835632,44.62204895,34.99184875,34.54820557,59.12390137,61.63901978
Y Zygomatic bone (anterior-superior) L,56.45452881,-40.5516571,-38.73744812,532.6396973,237.036377,259.7005127,25.05875854,68.75378418,37.36921082,9.11162262,9.247993469,-60.16999512,521.0442871,243.4878906,248.6422607,-31.39081116,-29.04691467,278.934375,268.3455078,25.90984802,30.97455444,-20.04389038,26.10674133,16.14884338,24.32101593,29.63824158,25.2180954,26.79980774,24.94343719,25.45679626,19.76370697,20.91638184,38.69760437,31.63640442,28.83036499,34.07575684,22.16026306,41.00842896,-26.89060669,-11.27884674,54.53468628,-15.00204926,36.62607422,21.43258972,37.53627625,27.8510437,35.14085693,-47.66097717,-40.34644775,502.9192383,245.0658691,256.3741211,47.97437439,49.87899475,52.04710083,-46.96590881,-59.79264526,495.1881348,240.6725098,-49.51464539,-57.62943115,239.9415039,244.0217041,-23.57855682,2.304299927,31.03598633,36.82026672,-12.31056976,-19.5355011,-50.19631042,-28.4196991
Z Zygomatic bone (anterior-superior) L,-250.6787354,-792.2339355,-812.5859863,-818.5542969,-800.976709,-815.566748,-543.5594238,-602.1270996,-967.3363281,-225.3129883,-873.6529297,-787.7154785,-785.6707031,-770.4703125,-787.2916504,-516.7694824,-538.8381836,-540.4943848,-541.8024414,-1264.95127,-1273.818555,-654.0350098,-1259.098535,-849.83125,-1266.249512,-1278.609375,-1025.148242,-1259.845703,-1277.097754,-1279.280762,-1016.179395,-1281.354395,-1264.375195,-978.8848633,-1258.8875,-1255.488672,-1257.691602,-1278.00166,-953.3967773,-946.1611328,-1271.00918,-924.565625,-1267.360645,-1261.762402,-1002.881836,-1016.849902,-1277.857324,-860.8094727,-884.7000977,-890.95,-875.1959961,-885.4374023,689.8010254,374.3922119,998.9578125,-735.094873,-760.5265625,-761.398877,-763.7541016,-499.6178223,-522.8398438,-499.0494629,-521.5166992,-843.4682617,-915.3123047,-1261.836133,-1263.297656,-1001.198828,-851.5521484,-860.2257813,-890.8801758
X Zygomatic arch (superior) CUR R 9,-63.28786621,18.80203705,-114.2017334,-57.57399292,12.1660202,-116.8218872,-55.327771,-58.06407471,-65.60070801,-51.39465942,-62.43502808,-113.5851563,-51.72181396,15.91057892,-117.9814331,25.40725555,-116.5284546,-0.978620911,-114.3729614,-60.7093689,-58.14506836,-55.87017212,-59.22836304,-57.52979126,-54.9619751,-67.11378174,-70.15369263,-65.15230713,-61.51773682,-62.659729,-66.39587402,-66.81505737,-59.13921509,-59.92278442,-64.19584961,-64.20630493,-65.86761475,-53.69050293,-58.2270813,-68.34251709,-70.82089844,-62.42468872,-68.12694702,-60.6355835,-73.09277954,-63.88648682,-55.45786133,9.616460419,-112.384668,-71.48590088,4.977453995,-115.2618408,-53.20803833,-51.02928162,-57.88483276,15.31942596,-107.1027344,-55.71364136,-113.3203979,9.102287292,-109.665918,2.690251732,-124.6063354,-52.72774048,-43.31210022,-47.41125793,-48.00926514,-53.36245117,-62.02576294,-39.20648499,-41.04945374
Y Zygomatic arch (superior) CUR R 9,99.80793457,-12.87215271,-4.03918457,566.7813477,278.4818604,293.7528076,66.69007568,118.3877197,82.62223511,47.47561646,48.97365417,-23.9144577,566.871875,285.9052002,283.447583,10.68214493,19.37115936,308.1419434,304.6761475,65.79386597,79.05283813,22.17574615,70.85265503,58.82991333,55.19460449,62.66418457,60.89106445,59.32067261,59.85709839,68.39675293,58.01350708,58.2647522,68.3972229,64.2942627,62.54489136,66.78444824,66.96605835,72.35571289,9.609573364,26.14432373,91.01030884,21.43513031,78.73479614,51.74436035,76.80586548,61.93190308,66.44862671,-15.84411163,-14.64315338,526.0480469,273.373999,273.0942627,79.025,81.41814575,78.34145508,-14.8451355,-32.028479,522.7713379,264.7959473,-20.13690186,-43.27375793,270.2034668,273.9270996,4.208861923,20.42059937,60.74572754,70.25307007,10.44839706,2.044033623,-18.73414001,-10.28659821
Z Zygomatic arch (superior) CUR R 9,-244.2025146,-815.945459,-791.1407715,-815.027002,-815.5533203,-787.2209473,-543.153418,-606.0745605,-961.8946289,-221.4692383,-869.8987305,-764.001709,-784.8364746,-786.9374023,-761.4937012,-544.387793,-520.8461914,-542.5971191,-516.2901367,-1263.515332,-1266.508887,-654.7027344,-1254.828223,-848.1802734,-1254.067188,-1266.383594,-1021.414063,-1257.03457,-1269.079102,-1268.532031,-1007.19502,-1277.04668,-1261.331543,-973.8708984,-1257.499512,-1253.774707,-1246.573047,-1263.707715,-959.275,-943.5009766,-1268.09707,-920.9991211,-1258.124023,-1257.892285,-1001.421777,-1001.666699,-1273.37627,-886.1707031,-863.8073242,-878.215625,-891.2926758,-852.7185547,692.8399902,379.6176514,999.5371094,-757.1759277,-734.721582,-756.1859863,-739.285791,-517.0910156,-493.3413574,-521.0946289,-482.7821289,-837.8894531,-881.7811523,-1254.166602,-1255.950488,-999.9753906,-855.7016602,-845.6099609,-865.8754883
X Zygomatic arch (superior) CUR R 8,-61.12131958,19.28071289,-113.0487793,-56.38120117,12.70830002,-114.9854614,-54.5737793,-56.12432861,-64.1958313,-50.10729675,-60.44267578,-113.433252,-50.44577942,16.21705627,-116.5520264,25.83861389,-114.1178589,0.242997289,-115.2935059,-59.5307373,-56.75,-53.73240356,-56.74686279,-55.66462402,-54.0637207,-66.52792969,-68.85384521,-63.95526733,-59.26000977,-62.62336426,-66.03571167,-65.40110474,-57.78261108,-58.89620972,-63.97271729,-63.05058594,-64.76911011,-52.88860474,-56.80067749,-67.1899231,-69.16004639,-61.34265747,-66.85899658,-59.92788696,-71.79276733,-63.9414917,-54.43170166,10.55840302,-111.9692505,-70.70789185,5.615357208,-115.238916,-51.96923828,-50.21206665,-56.79226074,15.58654022,-106.5790527,-55.04666748,-112.4825195,10.0605072,-109.8595947,3.686947632,-124.7887939,-51.47071533,-42.4822998,-46.58580017,-48.21266785,-52.95447998,-61.48949585,-38.05875549,-40.36923828
