Name,CW_NR0718,CW_M1937,CW_M22233,CW_M22220,CW_M11977,CW_M21375,CW_NR1328,CW_NR1351,CW_NR1352,CW_NR1353,CW_NR1609,CW_M1943,CW_M11973,CW_M11,CW_M68,CW_M1942,CW_M11968,CW_M3721,CW_M11976,CW_J11665,CW_J5422,CW_J6203A,CW_J6203B,CW_Wombat_Common,NHNW_B118,NHNW_B131,NHNW_B135,NHNW_B14,NHNW_B40,NHNW_B42,NHNW_B79,NHNW_B93_Anomaly,NHNW_J13143,NHNW_J13144,NHNW_J13145,NHNW_J14051,NHNW_J6239,NHNW_JM12487,NHNW_JM18942,NHNW_JM19739,NHNW_JM2546,NHNW_JM7474,NHNW_JM7475,NHNW_JM8463,NHNW_JM8466,NHNW_SNC1,NHNW_SNC2,SHNW_M8783,SHNW_M8746,SHNW_M8887,SHNW_M8748,SHNW_M8801,SHNW_NR1326,SHNW_NR1348,SHNW_NR1349,SHNW_M8807,SHNW_M8749,SHNW_M8867,SHNW_M8752,SHNW_M8774,SHNW_M8952,SHNW_M8892,SHNW_M8951,SHNW_F_Poor_Teeth,SHNW_Holly,SHNW_J16968,SHNW_J17772,SHNW_Kyle,SHNW_M_Good_Teeth,SHNW_M_Poor_Teeth,SHNW_Mr_Fox
X Zygomatic suture origin R,-59.53743896,26.29199829,-110.7490112,-52.52830811,15.4303833,-115.2781616,-52.22628784,-59.02268677,-63.97449341,-48.68164978,-60.69884033,-112.6306519,-46.37780151,17.98946991,-113.5362183,28.52559204,-116.5751465,1.941288376,-113.2136475,-55.90321655,-56.49622192,-55.61046753,-56.08240967,-53.54026489,-52.30808105,-62.65585938,-64.71695557,-62.35020752,-59.63135376,-61.65296631,-62.16806641,-62.33365479,-53.17683716,-54.9447876,-58.46064453,-60.96884766,-63.00144653,-51.93244019,-55.52780762,-61.85911865,-65.41791382,-59.21186523,-63.0921875,-58.87780762,-69.77437744,-58.10866699,-52.18575439,15.14834595,-108.5809692,-66.42446289,8.669320679,-111.6176147,-50.28279419,-48.65325317,-52.98156738,19.37699738,-103.7726685,-52.30792847,-109.0645996,14.14837952,-103.1963257,6.556335449,-121.3209961,-50.63576355,-42.77940063,-45.10116882,-43.90334778,-49.09907227,-58.79970093,-38.05415039,-39.03740234
Y Zygomatic suture origin R,72.23903809,-36.77935791,-28.45949402,538.7462402,250.7394531,267.0966064,38.34289856,93.24092407,54.76228638,22.2213974,24.91689453,-45.78547668,536.2349121,263.7282471,258.441748,-15.48010406,-5.245333481,285.3547119,279.6391846,38.01791382,49.3385498,-4.729155731,42.93962402,31.88114624,32.00117493,33.93374023,35.17663879,36.71652222,36.77554932,38.92969666,31.45921326,31.71734009,44.9546814,40.03403015,36.25238647,42.55370483,35.16657715,50.5790802,-14.46441803,-1.680896187,62.64366455,-3.776123047,52.33154907,30.54301453,48.80750427,34.20903625,46.08577576,-37.38070068,-34.1201416,503.9334961,252.8932373,254.4383789,57.19536133,59.39510498,58.74320679,-37.0130249,-52.23397217,500.7654785,244.1025391,-40.56584473,-63.45690918,250.4830811,250.1046631,-17.2856369,8.618699646,38.78365479,49.36640015,-4.162615585,-17.16793671,-39.06135864,-26.54888306
Z Zygomatic suture origin R,-248.0321533,-814.3616699,-795.8442383,-819.1600098,-815.6731445,-794.6178223,-545.7683594,-605.9865234,-963.9498047,-224.2789551,-872.6961914,-766.163916,-787.6749512,-788.4726563,-765.7436035,-543.5427246,-522.4088867,-545.4708008,-519.7257324,-1264.415625,-1268.416992,-655.3662109,-1255.833105,-850.8424805,-1257.995605,-1270.112109,-1023.631543,-1258.336328,-1270.711621,-1272.574023,-1011.101465,-1280.3125,-1262.241406,-974.8936523,-1258.069238,-1256.683594,-1250.324023,-1263.95166,-959.4288086,-947.0072266,-1270.384473,-926.1953125,-1260.957715,-1259.601953,-1003.057813,-1004.429102,-1273.635742,-887.7609375,-866.837793,-882.3230469,-893.5402344,-857.8394531,688.9138184,376.3470947,995.8575195,-762.1952148,-737.1134277,-758.2316406,-741.6698242,-520.6547363,-496.9391113,-524.1293945,-488.9155273,-840.6043945,-896.7893555,-1255.201953,-1257.51748,-1002.906738,-861.5272461,-850.6441406,-879.6319336
X Zygomatic suture origin L,53.27315063,116.6697876,-2.5427248,55.31616821,107.2180054,-4.201064682,51.18416748,60.95158691,47.32958679,53.58215332,55.88092041,-11.03020096,56.95165405,105.4879639,-10.92554016,120.0203613,1.480756283,110.725293,-24.41685638,54.53301392,57.03673706,58.81159668,54.03127441,56.10564575,54.30553589,64.93258667,58.0869873,57.03488159,59.29065552,61.84319458,61.88292847,58.87666626,51.37589722,51.83245239,54.22435303,57.04975586,64.94656372,55.55636597,53.79647217,65.11790161,62.0713623,57.15047607,60.93694458,53.77311401,55.93180542,61.41391602,53.80808716,117.5971558,-10.1577034,34.34406738,103.4538574,-22.23279419,48.91312866,56.22235107,49.69186401,121.8943848,-6.354821396,45.09906006,-8.811419678,111.7376221,-7.390180206,104.3779297,-18.07951813,53.01815186,49.03150024,46.15069885,46.71526794,39.46966248,36.87637329,62.05806885,64.48053589
Y Zygomatic suture origin L,70.64893799,-28.29677124,-27.79242859,544.7742676,249.9075195,271.7738037,35.99480896,89.41630249,54.61801147,21.50881805,27.29235229,-38.71807556,531.1909668,262.7822754,261.0587402,-18.08005829,-12.16321182,295.7045654,281.9375488,39.0204895,49.39041138,-3.37389679,40.69570007,30.01108704,33.03308716,40.78126221,36.83725281,38.00098267,35.68673096,38.53210144,29.75152893,31.44382935,47.48739319,39.34292603,37.6884552,46.36795044,33.25149231,50.81203918,-18.24186401,-0.4330163,65.03266602,-6.940787506,49.5327179,31.33408508,49.39672852,37.85421448,46.6875824,-38.76167603,-30.01687927,511.6258301,252.7969971,266.6009521,56.79674072,63.09405518,62.33224487,-37.16394958,-49.23583679,504.459082,249.3903809,-39.72419434,-48.46768188,250.6158691,254.559082,-13.34742584,9.111499786,37.38569946,47.60572205,-2.736755371,-12.50784836,-41.46718445,-21.32810669
Z Zygomatic suture origin L,-251.1409424,-790.5439453,-815.1651367,-820.4859375,-800.0302734,-814.9794922,-544.878125,-602.8874512,-967.8219727,-226.5339355,-873.3466797,-789.8651855,-783.9151367,-765.6000977,-790.0335449,-514.9429199,-544.4598145,-537.2738281,-541.376416,-1265.425879,-1277.209961,-657.7629395,-1260.510449,-850.584375,-1266.384863,-1279.120801,-1024.69209,-1259.117188,-1276.041699,-1277.373242,-1015.337598,-1279.11748,-1263.591309,-978.7636719,-1257.53584,-1255.287988,-1255.803418,-1280.077832,-953.1450195,-944.9068359,-1269.667773,-922.234668,-1265.603906,-1262.424219,-1000.985352,-1015.615039,-1279.969531,-860.1891602,-883.9545898,-890.2861328,-874.5744141,-884.3583984,690.648877,377.3337891,999.8435547,-731.6744141,-760.19375,-760.8458496,-763.3726563,-497.1845703,-522.6281738,-495.8787598,-519.6317383,-843.4958984,-909.7044922,-1261.085645,-1260.603418,-998.8318359,-849.2039063,-858.6816406,-885.7431641
X Zygomatic suture (proximal) CUR R 5,-60.36769409,27.87278442,-113.4888062,-54.40339966,15.64276276,-116.5750488,-53.29803467,-58.95192261,-63.7890686,-49.06810303,-59.81911011,-115.3821655,-46.66946411,18.78846283,-117.365625,29.06684265,-117.1856323,1.862953377,-116.4289307,-56.86055298,-58.88171997,-54.9854126,-58.534729,-56.23546753,-52.55680542,-63.66126709,-64.68164063,-62.82275391,-60.33572998,-63.62174072,-62.81723022,-62.63547363,-54.00587158,-56.28059692,-59.69216919,-60.19789429,-64.15692749,-51.39553223,-54.19897461,-61.66829224,-66.18209229,-59.97697754,-62.44215088,-58.30505981,-69.690448,-56.12893066,-51.69112549,14.94720001,-109.8135498,-69.38058472,9.369648743,-114.0941528,-51.46873169,-49.48803711,-53.99641113,19.58163452,-107.9892822,-53.72462769,-111.628772,15.41294556,-105.7440918,7.414374542,-122.1579956,-50.41884155,-43.5651001,-46.63224182,-45.35617981,-48.0334259,-58.33262939,-37.47933044,-40.09044189
Y Zygomatic suture (proximal) CUR R 5,70.61433105,-37.00158081,-29.39666748,540.9331543,253.4850098,267.661084,39.41984253,94.97282715,56.09901733,23.33786926,25.01333466,-45.99844971,539.5371582,262.8436279,258.9230225,-15.12780914,-4.295243454,286.3251465,280.9135986,35.96730347,49.80462036,-4.146083832,43.00494995,31.70627747,33.6756012,36.35891418,36.53011169,36.46859741,37.31258545,42.26431274,33.0033905,34.82043152,47.25521851,43.41166992,39.02171936,42.56824951,38.17369385,50.25505371,-12.50902481,-0.194232559,65.01308594,0.002767524,53.55178833,31.44038391,48.69265137,37.74622192,47.77163696,-34.2491272,-32.17972717,506.4063477,255.8294189,256.0379883,59.8977356,62.15317383,61.32648926,-33.83956604,-50.90655823,504.3388672,247.2174072,-39.16248169,-60.77440186,252.5424805,252.9488281,-15.41196747,13.09669952,41.53035889,51.15819702,-2.000926971,-14.35365295,-37.06265869,-22.68382416
Z Zygomatic suture (proximal) CUR R 5,-256.246582,-820.0895508,-800.8830078,-823.7203125,-822.0569336,-799.7555176,-551.732959,-614.3649902,-970.1486328,-229.6994629,-878.2666992,-770.590332,-794.1385254,-795.2890137,-771.0021973,-549.1592285,-528.0337402,-550.740332,-525.6558105,-1271.22334,-1276.425879,-661.0644531,-1262.09668,-857.6016602,-1263.917383,-1278.938184,-1030.782617,-1265.538086,-1278.063867,-1278.721484,-1017.18457,-1286.792285,-1266.991699,-981.1869141,-1264.466895,-1262.694629,-1258.021875,-1269.443945,-965.8848633,-952.6079102,-1277.408105,-933.1551758,-1269.292871,-1264.674023,-1012.81416,-1010.983008,-1279.724902,-892.4751953,-871.9575195,-886.3762695,-897.4723633,-861.2125977,685.1741211,370.9701416,991.1407227,-768.2813477,-742.3762695,-762.5226563,-746.8164551,-526.1175293,-502.0132324,-529.2427246,-494.2885742,-845.530957,-897.2584961,-1258.59668,-1261.830664,-1007.091406,-867.3731445,-855.9145508,-884.5623047
X Zygomatic suture (proximal) CUR R 4,-63.78130493,24.56512604,-115.2346069,-56.01930542,13.00594025,-118.3655884,-55.18109131,-59.94574585,-64.60875244,-49.96973877,-61.49501343,-116.0607544,-49.35322571,16.76335297,-119.0867188,27.5737793,-117.9462158,0.219279361,-118.4685791,-58.38168945,-60.7848938,-56.37785034,-60.21978149,-57.98865356,-53.98059692,-65.26013794,-66.67016602,-64.29771118,-61.47167969,-64.76687622,-64.27427979,-64.18574219,-56.4784668,-57.76810913,-61.4062561,-61.7637146,-65.63191528,-52.90423584,-55.02634277,-62.24116821,-68.06903687,-61.33602905,-64.26605225,-58.98956909,-71.13886108,-57.72891235,-52.45940552,14.74420013,-110.3011963,-69.92260742,9.576651764,-114.9080566,-51.76984863,-49.8452179,-54.76412964,19.98616943,-108.4382202,-54.11003418,-112.0116577,15.4901474,-107.0190186,7.541401672,-123.5184692,-50.7785553,-43.99140015,-47.36066589,-45.44483032,-47.88807678,-59.22554932,-37.98627319,-39.84011536
Y Zygomatic suture (proximal) CUR R 4,75.60847778,-32.16001282,-24.43393555,545.8990234,258.5702148,272.3473877,43.9403595,98.80192871,61.3779541,28.15830688,29.31336975,-42.27733154,544.9546387,267.701416,263.6912598,-10.72305145,0.559927368,291.1507813,285.5654785,40.5661499,55.20483398,0.700058079,48.45237732,37.04343872,36.77437439,39.7943573,39.62321777,39.77170105,40.65337524,46.54445801,36.32849731,37.52139587,49.96767883,46.91827698,42.46375122,46.35335999,42.904776,53.46473999,-9.498752594,3.145141792,68.34157104,3.194739342,56.14169922,34.03768311,52.32796631,41.68637085,49.89655151,-31.77657166,-30.04585266,508.3522461,257.8444092,257.6953613,61.81033936,64.00125122,63.61430054,-31.87374268,-48.89741821,506.5568359,248.9010254,-37.42635498,-58.89153442,254.5333984,255.4423584,-13.55022278,15.39309998,43.61737976,52.44030151,-0.258451104,-12.04047775,-35.15249634,-19.65493622
Z Zygomatic suture (proximal) CUR R 4,-256.0100586,-820.5058594,-800.9751953,-823.5878906,-822.7364258,-800.7071777,-552.7712402,-614.7229492,-970.6865234,-230.9145752,-878.9673828,-771.0604492,-793.9964355,-796.0128906,-771.1427734,-550.5797852,-528.6734863,-551.2020508,-525.611084,-1272.652344,-1277.21377,-661.804834,-1263.328125,-858.1623047,-1264.640527,-1279.672266,-1032.031055,-1266.644434,-1279.256543,-1279.832031,-1018.363184,-1287.912109,-1268.033105,-982.0381836,-1265.736719,-1263.733789,-1259.828906,-1270.48125,-966.740918,-954.1345703,-1278.97959,-933.9030273,-1270.910449,-1265.34248,-1012.698047,-1013.113672,-1280.52666,-894.1492188,-872.9834961,-887.3123047,-898.5165039,-862.0526367,683.7027832,369.3167725,989.9740234,-769.7753906,-743.7431641,-763.4747559,-747.9010742,-527.0626465,-502.652832,-530.0882324,-495.5694824,-846.9740234,-897.7369141,-1259.941211,-1263.293164,-1007.733789,-868.1356445,-857.3271484,-883.6621094
X Zygomatic suture (proximal) CUR R 3,-64.39109497,22.98320465,-116.5760376,-57.34541626,11.96527939,-118.8839111,-55.29227905,-60.32549438,-64.46730957,-50.3185791,-62.34914551,-116.0346069,-50.24229736,15.85251465,-120.2258545,26.72926636,-117.5603516,-0.224671984,-120.2669312,-59.63806763,-62.3772583,-55.73002319,-60.71282959,-58.49749756,-54.75574341,-65.40539551,-67.06870117,-64.58490601,-61.78696289,-64.34768677,-64.78621216,-64.50831299,-57.44743652,-58.31141357,-61.92545776,-62.61053467,-65.54050903,-53.33278198,-55.2258728,-62.72426758,-68.0861084,-61.17528687,-64.93970947,-59.41871948,-70.91053467,-58.80761719,-52.80740356,15.4806015,-110.4750366,-70.00458984,9.994377136,-114.9286987,-51.56594849,-49.38076782,-54.43394165,21.03791046,-108.0822388,-53.81550903,-111.8758911,16.19095306,-107.7026367,8.350505829,-123.8587036,-50.51681519,-43.52609863,-47.43500671,-45.14137573,-47.20418396,-59.06924438,-37.98894958,-38.89153748
Y Zygomatic suture (proximal) CUR R 3,82.58588257,-26.1992218,-18.8891571,551.7583984,264.8377441,278.180542,49.72831726,103.5926025,67.50645142,33.56400452,34.33953857,-37.78817749,551.2840332,273.234082,269.1243408,-5.223435593,5.994776535,296.885791,290.8865479,46.00675354,61.28919067,6.542736816,54.78602295,43.26228333,40.34734802,43.7431366,43.11281128,43.93215027,44.53820801,51.59059448,40.42763977,40.82601624,53.26453247,50.74376221,46.87564392,50.84505005,48.4003479,57.18253784,-6.046014786,7.414234924,72.93273315,7.249729919,59.78868408,37.25687256,57.26932983,45.58933105,52.55913086,-28.92396851,-27.30130615,510.927002,260.5404785,259.9917725,64.38834229,66.40405884,66.32641602,-29.99252014,-46.63153076,509.2288086,250.8921631,-35.09793396,-56.64108887,257.0291504,258.4328369,-11.30959549,17.8,46.26797485,54.33439331,1.819625092,-9.040936279,-33.16851196,-16.03044128
Z Zygomatic suture (proximal) CUR R 3,-256.05896,-822.2663086,-801.0341309,-824.515918,-823.6766602,-801.255957,-554.2723633,-616.4165527,-971.7398438,-232.4437256,-879.6917969,-772.476709,-796.2206543,-797.0462402,-771.7268066,-551.4380371,-529.4960449,-551.9618164,-526.0760254,-1273.951172,-1277.410742,-662.7071289,-1264.136719,-858.8400391,-1265.64248,-1281.457227,-1034.129004,-1267.713867,-1280.722949,-1281.313574,-1018.835156,-1289.236426,-1269.954688,-983.4954102,-1266.900684,-1264.775684,-1262.274707,-1272.221289,-968.0563477,-955.5174805,-1280.583301,-934.5240234,-1272.345801,-1266.464941,-1014.250391,-1015.036816,-1281.322461,-895.5217773,-874.0304688,-888.4119141,-899.4498047,-863.178125,682.4910645,367.6507324,988.4461914,-770.856543,-745.2826172,-764.6279785,-749.2067383,-528.0951172,-503.6031738,-531.0067871,-496.483252,-848.5378906,-897.5295898,-1261.076855,-1265.059277,-1008.350781,-868.5823242,-859.0068359,-882.8894531
X Zygomatic suture (proximal) CUR R 2,-63.00738525,23.51134949,-115.3616211,-56.04559326,13.62300415,-116.3844727,-53.50841675,-59.15291138,-63.67558594,-49.39957886,-60.35496826,-114.6704102,-47.41334534,17.70085449,-119.3254761,27.84812927,-115.5019287,1.530369473,-120.4773682,-58.79993286,-60.42115479,-53.65639648,-59.19750977,-56.868396,-54.03515015,-63.61723633,-65.70739136,-62.8980835,-60.89223633,-62.72507324,-64.00857544,-63.45553589,-56.41176758,-56.38602905,-60.81177979,-61.61484375,-63.90372314,-52.06939697,-54.43981323,-62.05686035,-65.91323853,-59.54189453,-64.11915283,-58.68405762,-69.45490723,-57.46557007,-51.83573608,17.00336914,-110.2540771,-69.33236084,10.76679077,-114.5175049,-50.82890625,-48.98389282,-53.47587891,22.71866608,-106.761792,-52.98359375,-111.0328613,17.41316986,-107.5480103,9.516773224,-123.7810913,-50.00010376,-42.68590088,-46.65369263,-44.28274841,-46.54092102,-57.87023315,-37.50089417,-37.32059326
Y Zygomatic suture (proximal) CUR R 2,88.29271851,-21.72859039,-14.13788452,556.3948242,269.9658447,283.4440918,54.48035278,107.345874,72.62840576,38.27618408,38.62873535,-34.0644928,556.0854004,278.0026123,273.3015137,-0.36993227,10.15962982,301.6378418,295.0815674,51.08593445,66.52016602,11.05308304,59.45501099,48.63864746,43.60389709,47.03701782,46.0716156,47.47148743,47.97723694,55.06456299,44.37737427,43.78537598,55.97130127,53.22958374,50.83030701,54.62385864,52.97399902,60.13826904,-2.90323391,10.8640358,77.01217041,10.54654999,63.1901062,39.9414093,61.1828125,49.22157898,54.89383545,-26.42088928,-24.87232971,513.2754395,262.9602539,261.9689941,66.71743774,68.72681885,68.5114624,-28.53712463,-44.86187744,511.2624023,252.6123291,-32.91928406,-54.23433228,259.1156494,260.9395996,-9.176176453,19.90390015,48.76279602,55.94172974,3.613588333,-6.454579926,-31.47728271,-13.05237122
Z Zygomatic suture (proximal) CUR R 2,-257.4471436,-824.6875,-801.9293945,-826.353125,-824.862793,-801.4556641,-556.1630371,-618.2862793,-973.415625,-233.2492432,-880.1772461,-774.2567383,-798.2013184,-798.3333008,-773.5064453,-551.6583496,-530.9520996,-552.9515137,-527.9894531,-1275.537109,-1278.795313,-664.5737793,-1266.870605,-860.4271484,-1266.158105,-1282.97002,-1035.60459,-1269.161523,-1282.171973,-1282.820996,-1019.362305,-1290.299316,-1271.508105,-985.0979492,-1268.190234,-1266.194141,-1264.808594,-1274.050781,-969.1681641,-956.6730469,-1281.915039,-935.6380859,-1273.420605,-1267.656934,-1016.294434,-1016.236621,-1281.993652,-896.3451172,-874.734082,-889.3932617,-900.0125977,-864.8514648,681.2929688,366.1189697,986.9855469,-771.1486328,-747.007959,-766.0651855,-750.4180176,-528.8307129,-504.6373535,-531.855127,-497.8946777,-849.8642578,-897.1058594,-1261.827441,-1266.525293,-1008.901465,-869.3188477,-860.4464844,-883.0111328
X Zygomatic suture (proximal) CUR R 1,-58.72796631,26.39534302,-112.2140015,-53.20480347,17.93831482,-111.0813965,-51.07452393,-55.60137939,-60.52432861,-47.13518982,-56.9496582,-112.4306274,-43.48371582,21.65536499,-116.2113159,30.7091217,-112.4655151,6.216131973,-117.2779419,-54.50802002,-55.86004028,-49.59596558,-54.06809082,-51.62553101,-51.70011597,-59.93571167,-62.61828613,-59.47120972,-58.05633545,-60.81591797,-60.65053711,-60.21700439,-53.46134644,-52.53441772,-59.87246704,-58.42280273,-60.6067627,-49.93293762,-52.03092651,-58.94115601,-61.15852051,-57.49347534,-61.79660645,-56.94423218,-66.8741333,-55.07838135,-50.01726379,19.57666016,-109.3817383,-67.58475952,11.94872208,-113.8499146,-49.34871826,-47.45311584,-52.13405762,25.00980988,-104.7846313,-51.97008667,-109.5651978,18.86649628,-105.882312,11.36820984,-123.3030273,-48.79251709,-41.45069885,-45.38262939,-43.38601685,-45.88077087,-56.35280762,-35.99307251,-34.99035034
Y Zygomatic suture (proximal) CUR R 1,91.92158813,-18.37083588,-10.56508179,559.7225098,272.8000977,287.0914307,58.98010864,109.3736816,77.10404053,42.54028015,41.71028442,-30.48072205,561.2187988,280.4523926,276.6338867,3.330480576,13.10539246,304.6472412,297.8180908,54.37096558,69.30324097,13.93378601,62.15494385,52.50280762,46.66654358,50.22575073,48.47503662,50.19839478,50.66333923,56.62980347,47.24118652,46.58094482,58.15959473,54.96227417,54.71154785,57.3458252,56.27893066,62.55818481,-0.489985847,13.07236786,80.09832153,13.4899826,65.8225708,42.22502747,64.39064941,52.76242676,56.64433594,-24.66291962,-22.75231018,515.4963867,264.8166748,263.6546143,68.7364563,70.73520508,70.69332886,-27.17018127,-43.28860779,512.5297852,254.4836426,-30.52722473,-51.93445435,260.6690918,263.1335205,-7.239646912,22.03950043,50.82763367,57.44004517,5.202083206,-4.506647873,-29.98548279,-10.59293671
Z Zygomatic suture (proximal) CUR R 1,-260.1091064,-826.4283203,-803.4672852,-828.3040039,-826.0800781,-803.4955078,-558.6384277,-619.8920898,-974.6794922,-233.8682861,-881.4974609,-776.3666016,-800.1356445,-800.1802246,-775.3875977,-551.8944336,-532.9822266,-554.4191895,-530.1375488,-1278.318359,-1280.697852,-666.347998,-1269.012988,-861.7337891,-1266.930859,-1284.392188,-1036.87793,-1270.674121,-1284.005859,-1284.419727,-1020.820996,-1291.269043,-1272.477441,-985.8232422,-1269.801172,-1267.733008,-1268.14541,-1275.887598,-970.7348633,-957.6142578,-1282.96709,-937.5566406,-1275.565137,-1268.661523,-1018.640234,-1017.544238,-1283.008887,-897.4868164,-875.5978516,-890.4666016,-900.9671875,-867.172168,679.8345215,364.8618164,985.6913086,-771.4390137,-749.1078125,-767.867334,-751.5764648,-529.3547363,-506.0441406,-532.9759766,-499.978418,-851.1428711,-896.9750977,-1263.163574,-1268.585156,-1009.466602,-870.537793,-861.6037109,-883.3197266
X Zygomatic suture (proximal) CUR L 5,54.22687378,118.317688,-1.328611851,56.35430908,109.6360107,-4.825564957,51.57709961,62.57059937,47.9532959,52.35287476,56.23894043,-11.8473465,58.48264771,107.7287842,-10.30513535,122.3849243,0.601311731,110.9989258,-24.4878006,55.72402954,57.53623657,57.8980835,55.87680054,59.14279175,53.8732605,64.32572632,57.94315796,56.84863892,59.01709595,62.89542236,61.46834106,58.57223511,52.02998657,53.15044556,54.52878418,56.64432983,65.95343018,53.30236206,53.98907471,64.98092651,62.7065979,57.84328613,60.86331787,52.92043457,55.42171021,60.77706299,51.82216187,118.9931885,-10.83996124,35.1930603,104.5487427,-22.2013031,49.43651733,56.99845581,50.79831238,125.6047363,-5.973241425,45.67940369,-8.607878876,113.1046997,-7.668901062,105.7559692,-20.50561676,52.36723022,49.77430115,47.32797546,48.41664734,39.5743866,37.3872406,61.08718262,65.77764282
Y Zygomatic suture (proximal) CUR L 5,70.05878296,-28.17402649,-27.63921204,546.0885254,251.2595459,274.078833,35.75987244,90.55322876,55.51543579,20.7874588,27.0473938,-39.37060547,533.2038574,262.6323975,262.6352783,-16.96039886,-12.44894638,297.3626221,283.2760742,37.35861206,50.54311829,-3.326948166,42.30471802,32.13774414,34.95357056,42.35695496,37.35428772,39.45544128,36.94317322,40.30422974,33.54885254,34.01774292,49.45932312,43.35257263,40.81728821,46.07827148,34.44794617,49.29671021,-16.06328735,-0.197127509,67.0909668,-4.684539795,52.41176758,31.91312561,50.55294495,40.53983459,48.02089233,-35.69371643,-27.3222168,514.987207,255.1937012,269.0233154,58.80814209,65.35721436,65.1571106,-34.88540649,-47.56639404,507.5892578,252.0222168,-37.25923462,-45.97427673,252.0908936,258.2262695,-11.95314178,13.68249969,40.65572205,49.89861145,1.111505032,-9.414715576,-38.92269897,-16.80516052
Z Zygomatic suture (proximal) CUR L 5,-258.984668,-795.567334,-820.9813477,-825.7135742,-806.0958008,-820.7210938,-550.3199707,-611.4277832,-975.5203125,-231.818457,-879.2820313,-796.1268555,-790.9824219,-770.9403809,-796.0604492,-519.1116211,-549.8385254,-542.7413574,-547.5600098,-1272.867383,-1285.603613,-662.3806152,-1267.323047,-857.4349609,-1271.196777,-1287.851172,-1031.731152,-1263.743652,-1282.497656,-1283.907715,-1021.220605,-1286.964746,-1268.875,-983.028418,-1262.384961,-1261.141699,-1265.559277,-1285.423926,-958.7683594,-951.9130859,-1278.347559,-929.6711914,-1272.055273,-1267.150879,-1009.199512,-1023.931738,-1286.020703,-864.4344727,-887.7147461,-894.5456055,-878.7088867,-888.8114258,685.2273926,373.1670654,994.7712891,-737.4124023,-766.1255371,-766.242334,-767.959668,-501.7922852,-527.1056152,-501.4834961,-525.2760742,-848.5160156,-909.9714844,-1265.072949,-1264.875098,-1001.88252,-855.3533203,-864.3244141,-888.8102539
X Zygomatic suture (proximal) CUR L 4,57.06004639,120.2047485,0.782273912,57.86585693,112.3128662,-3.324240875,54.33359375,64.58933716,48.91689148,52.84938354,57.54215088,-11.21548157,61.55617676,109.4682251,-8.551940918,124.7480591,2.054907608,111.3045044,-22.34040375,56.7383728,60.07705078,58.54470215,57.94890137,61.03380737,55.19729004,65.63377075,60.03964233,58.43583984,60.2835083,63.87980347,62.76487427,59.99686279,53.7894043,54.96581421,56.17320557,58.37763062,67.81099243,54.14258423,55.56195068,66.302948,64.069104,60.05432129,62.13833618,54.11364136,57.56167603,62.50128174,52.64751587,119.6837891,-10.77655945,35.45410767,105.1112549,-22.61355133,49.56209717,56.99641113,50.60013733,125.9921509,-6.156523514,46.01763611,-8.642056274,113.6376587,-7.893985748,106.0833618,-19.30335236,52.74577637,50.40690002,48.25529175,48.90403748,39.60423889,38.16726379,61.39258423,65.75508423
Y Zygomatic suture (proximal) CUR L 4,75.76008301,-22.74507751,-22.27850952,551.4808594,256.3199219,279.6071777,41.7118103,94.98562622,61.45299072,26.25776672,31.52986755,-35.4792572,539.0255859,267.4885498,267.5521729,-11.74709473,-6.838178253,301.7894287,287.9146729,42.58794861,55.8038269,1.607969856,47.68716736,37.88943176,38.45323181,46.24754333,41.32806702,43.64509583,40.7170105,44.22293396,37.500354,37.81087952,52.8435791,47.28468323,43.90221863,49.86030884,39.1519104,52.17233276,-12.61251297,3.464962006,71.14295654,-1.1987113,56.0244751,35.05036316,55.0762146,44.53980103,50.01289673,-33.39881592,-25.45474091,517.4713379,256.989502,270.8157959,60.38070068,66.83189697,67.11094971,-33.45127563,-45.76621399,509.7429688,254.088501,-34.9523407,-43.84036255,253.5110107,261.0035889,-9.622107697,16.21820068,42.92641296,50.87763062,3.374238205,-7.090554047,-37.12929993,-13.68284302
Z Zygomatic suture (proximal) CUR L 4,-258.9071533,-795.117334,-822.3540039,-826.5023438,-805.5040527,-821.412207,-550.5001465,-612.4996094,-976.0498047,-232.7408936,-879.6109375,-796.8938965,-790.2160156,-771.7480469,-796.8396973,-518.9942871,-551.6926758,-542.3068359,-548.6333008,-1273.373535,-1287.561328,-663.9650391,-1268.774512,-858.1262695,-1271.716016,-1289.337695,-1032.755078,-1264.889648,-1283.674902,-1284.037109,-1022.238672,-1288.021289,-1269.904492,-984.8124023,-1264.334473,-1263.30127,-1267.826855,-1287.434961,-959.350293,-952.3442383,-1279.438477,-929.8337891,-1272.8625,-1268.639551,-1009.839258,-1025.657422,-1287.509375,-866.0223633,-888.8162109,-895.5380859,-879.6883789,-890.1912109,684.0646973,371.3069824,993.5424805,-738.902832,-768.0225098,-767.1515625,-768.9555176,-502.7254883,-528.6850098,-502.3660156,-527.021582,-849.7235352,-910.1563477,-1266.314941,-1266.371191,-1002.264551,-856.3138672,-865.7182617,-888.6369141
