,x
800,5
801,5
802,5
803,3
804,5
805,5
806,5
807,5
808,2
809,2
810,2
811,2
812,2
813,2
814,2
815,5
816,5
817,5
818,5
819,5
820,5
821,5
822,5
823,1
824,1
825,1
826,1
