ID,ID2,Species,Locality,Environment,Sex,Aridity,Temperature,Geolocation,TBPLS,#
SHNW_M8749,SHNW_2_Ant_R,SHN wombat,SW/SA,SB,M,0.11024185,17.3,Yes,SHNWTBPLS,50
SHNW_M8867,SHNW_2_Extra,SHN wombat,SE/SA,SBM,F,0.19493218,16.9,Yes,SHNWTBPLS,54
SHNW_M8752,SHNW_2_Pos_R,SHN wombat,SW/SA,SB,M,0.11024185,17.3,Yes,SHNWTBPLS,63
SHNW_M8774,SHNW_3_Ant_L,SHN wombat,SC/SA,SBM,F,0.14122017,17.4,Yes,SHNWTBPLS,29
SHNW_M8952,SHNW_3_Ant_R,SHN wombat,SW/SA,SB,M,0.11024185,17.3,Yes,SHNWTBPLS,13
SHNW_M8892,SHNW_3_Pos_L,SHN wombat,SC/SA,SBM,M,0.14122017,17.4,Yes,SHNWTBPLS,30
SHNW_M8951,SHNW_3_Pos_R,SHN wombat,SE/SA,SBM,F,0.19493218,16.9,Yes,SHNWTBPLS,10
SHNW_F_Poor_Teeth,SHNW_F_Poor_Teeth,SHN wombat,CSW/SA,DS,F,0.14424941,17.1,Yes,SHNWTBPLS,21
SHNW_Holly,SHNW_Holly,SHN wombat,CSW/SA*,DS*,F,NA,NA,No,SHNWTBPLS,64
SHNW_J16968,SHNW_J16968,SHN wombat,NA,NA,NA,NA,NA,No,Nil,42
SHNW_J17772,SHNW_J17772,SHN wombat,NA,NA,NA,NA,NA,No,Nil,41
SHNW_Kyle,SHNW_Kyle,SHN wombat,CSW/SA*,DS*,M,NA,NA,No,Nil,65
SHNW_M_Good_Teeth,SHNW_M_Good_Teeth,SHN wombat,CSW/SA,DS,M,0.14424941,17.1,Yes,SHNWTBPLS,22
SHNW_M_Poor_Teeth,SHNW_M_Poor_Teeth,SHN wombat,CSW/SA,DS,M,0.14424941,17.1,Yes,Nil,23
SHNW_Mr_Fox,SHNW_Mr_Fox,SHN wombat,CSW/SA*,DS*,F,NA,NA,No,SHNWTBPLS,3
