Name,CW_NR0654,CW_NR0718,CW_M1937,CW_M22220,CW_M11977,CW_M21375,CW_NR1328,CW_NR1351,CW_NR1352,CW_NR1353,CW_NR1609,CW_M29,CW_M1943,CW_M11973,CW_M11,CW_M68,CW_M1942,CW_M11968,CW_M3721,CW_M11976,CW_JM5397,NHNW_B118,NHNW_B14,NHNW_B34,NHNW_B71,NHNW_J14051,NHNW_JM12487,NHNW_JM18942,NHNW_JM19739,NHNW_JM2546,NHNW_JM7474,NHNW_JM8466,NHNW_SNC1,NHNW_SNC2,SHNW_M8746,SHNW_M8887,SHNW_M8748,SHNW_M8801,SHNW_NR1326,SHNW_NR1348,SHNW_NR1349,SHNW_M8807,SHNW_M8749,SHNW_M8867,SHNW_M8827,SHNW_M8752,SHNW_M8774,SHNW_M8952,SHNW_M8892,SHNW_M8951,SHNW_F_Good_Teeth,SHNW_F_Poor_Teeth,SHNW_Holly,SHNW_M_Good_Teeth,SHNW_Mr_Fox
Y Mandibular patch 195,-56.93721313,-53.34442139,-133.9030273,436.384668,156.3800415,166.4221313,-79.89868774,-42.92180786,-63.34067383,-77.18108521,-69.0538208,-129.8011963,-154.3031982,430.679834,160.3598633,149.5666992,-133.2709229,-146.3502808,167.8336182,163.4724854,48.76967163,36.8593811,40.46964111,38.8446228,44.77147522,49.21183472,47.14501038,27.99819946,29.89577942,37.88768311,23.71643066,51.94226074,26.82150879,35.08951721,-136.5500732,409.8797852,148.6492554,160.9310059,-56.16620483,-61.3998291,-61.82583008,-147.8925903,-156.7830322,409.4828613,144.3964966,142.5047607,-149.1409424,-166.1489258,147.9069946,144.0439087,-21.13410492,-18.42129822,18.1177002,-14.80378418,-19.33394012
Z Mandibular patch 195,-205.4713867,-227.9422607,-791.7303223,-794.9047852,-794.3761719,-782.6022461,-534.7151367,-592.4711914,-948.2774414,-214.6145508,-868.6936523,-767.2461914,-752.3068359,-772.0384766,-770.8845703,-751.5880371,-523.0172363,-500.7440918,-523.8265137,-506.8322754,-1440.220605,-1400.693555,-1385.279492,-1414.868457,-1124.566797,-1400.875684,-1432.669141,-1113.658496,-1127.233496,-1431.098633,-1068.842969,-1155.040332,-1140.187988,-1393.989258,-851.3227539,-872.9267578,-875.6207031,-856.4056641,703.8472656,396.2122803,1028.165723,-730.927832,-727.326123,-745.1449219,-749.9621094,-730.337793,-498.3060547,-488.7714844,-502.5366211,-485.8325684,-876.3441406,-854.453418,-901.8149414,-868.9503906,-889.9258789
X Mandibular patch 194,-32.08713684,-46.61726074,48.85972595,-28.97185364,33.69732056,-94.45321655,-41.82657776,-36.79115906,-38.79369507,-30.97398682,-39.80028381,37.10609131,-96.01826782,-34.34567566,30.6937561,-100.848114,43.55382996,-98.96373901,27.31413269,-106.5234131,33.00108337,-35.62164001,-45.04663391,-30.69819946,-38.11054077,-41.57267761,-38.65513611,-32.67686462,-41.36642456,-37.08904724,-34.83598328,-47.33814392,-46.02207947,-38.70770569,-96.69034424,-41.10635376,28.77281494,-101.8586487,-34.04561157,-36.66757507,-36.00283508,35.19856262,-95.57151489,-35.85841675,31.57191467,-89.93508911,34.85706177,-94.9703064,25.13987579,-108.6265137,-36.09348755,-37.17097778,-30.69660034,-40.48663635,-26.16420288
Y Mandibular patch 194,-40.98679199,-36.80617371,-115.3177002,454.2682617,170.5740234,174.071106,-63.66367798,-20.3461731,-38.77046814,-73.09762573,-60.96372681,-119.5657104,-134.2082642,440.0958008,179.8033569,166.8621216,-104.3491577,-118.0468018,192.5044067,188.9618164,69.92106934,57.14436646,59.16765747,55.13751831,62.72393188,74.44839478,66.1020813,47.50056763,57.87460327,47.92665405,60.28087158,66.92035522,49.73508911,52.62670898,-125.6998657,421.0585449,156.5271118,173.0333618,-39.91611328,-36.47415771,-31.32228394,-132.3494263,-146.3833862,419.6320801,153.7103638,153.1128662,-145.3477173,-155.2079834,158.2952881,153.7360962,5.842495728,9.256850433,57.79990234,13.52218628,24.42253723
Z Mandibular patch 194,-246.9577881,-278.7764893,-833.6886719,-838.7512695,-840.2276367,-829.5578125,-579.6416992,-639.7311523,-988.0588867,-257.3624512,-912.5641602,-813.1610352,-792.2371094,-819.0348633,-811.5427734,-794.2830078,-557.7320801,-539.412793,-562.4539551,-539.7324707,-1394.077051,-1436.303906,-1425.879102,-1446.207715,-1168.63418,-1443.362598,-1472.481543,-1153.192383,-1169.413086,-1480.175586,-1097.27373,-1207.194238,-1180.906738,-1432.514258,-889.6981445,-915.2165039,-918.1548828,-894.5964844,662.4663574,358.2652588,993.971582,-779.4259766,-769.157373,-786.8814453,-791.4877441,-774.7980957,-544.8089355,-530.4633301,-547.0437012,-527.7819824,-903.6421875,-888.8414063,-911.2349609,-900.6782227,-905.4556641
X Mandibular patch 193,-15.12007141,-25.96025391,63.30490723,-13.60894165,45.64620056,-77.6999939,-22.3365509,-21.6047287,-24.67690735,-18.42494202,-22.31842804,49.18208008,-75.27050781,-19.04946442,42.00505676,-84.60421753,54.16447754,-78.27630615,43.40894165,-86.40803833,17.5476593,-20.46657562,-29.78404846,-18.99880066,-21.74541016,-24.86031342,-23.54175262,-20.03628387,-22.80752716,-20.0841568,-16.92594452,-29.40380249,-26.72834167,-24.1505127,-79.67154541,-26.35328674,42.24977722,-83.85083618,-20.80535583,-17.55306549,-21.68410797,49.35751343,-78.84059448,-20.84467621,44.14795532,-73.23463745,52.65450439,-77.83745728,40.76610413,-86.76105347,-24.40426941,-21.74313354,-19.43500061,-23.31215668,-9.171500397
Y Mandibular patch 193,-70.40690308,-68.10606079,-146.9983154,422.3978027,145.3921753,150.7692993,-91.40007324,-53.93046265,-70.28007202,-96.61779785,-86.87953491,-149.9048096,-162.5933716,412.6502441,151.7853516,140.9798828,-139.0021851,-151.8503784,163.3935791,164.2604736,34.83653259,26.84926147,32.81612854,34.40159912,29.46148987,42.64501038,39.05050049,16.43440552,27.27022705,18.81818085,29.8177124,35.82638855,21.57303467,25.74413757,-150.1309326,396.0726074,131.8373291,148.1593994,-68.13131714,-63.87402954,-60.18979492,-156.0387573,-175.4193848,394.8195557,129.4796143,128.303064,-167.3166138,-180.1883301,137.6825684,130.5084717,-20.95526733,-18.99003754,38.79989929,-9.737039185,0.620599985
Z Mandibular patch 193,-237.9223633,-268.2328857,-818.6038574,-830.5881836,-824.7799805,-820.0734375,-566.0206543,-628.8021973,-980.5875,-244.384082,-897.8216797,-799.7979004,-789.8366211,-804.6657227,-803.799707,-791.7916992,-550.4851563,-539.2,-554.7061035,-543.2537598,-1403.717676,-1435.41709,-1423.269141,-1443.84502,-1165.769531,-1439.336133,-1471.493652,-1149.963574,-1167.540527,-1472.042676,-1108.199609,-1200.17041,-1179.75293,-1429.995703,-888.2595703,-906.0458984,-904.0875977,-891.3402344,669.8811035,358.0072998,991.0498047,-767.226123,-763.9217773,-779.6648926,-778.0468262,-767.3641113,-529.1215332,-521.8202148,-533.9247559,-523.8637207,-907.4041992,-888.3681641,-930.4865234,-903.3450195,-924.5925781
X Mandibular patch 192,-35.49089355,-53.08716431,47.17112732,-31.81503601,30.87010498,-100.9273071,-43.50708618,-41.63845215,-44.23139038,-36.04060364,-41.19495239,28.88502197,-99.68305664,-37.0077301,25.30340271,-106.1235962,39.16915283,-104.3615479,26.31170654,-108.3115234,40.59054565,-41.551297,-48.45339661,-34.44084778,-44.65336914,-46.81920166,-43.83796082,-38.17378235,-44.98772278,-43.12513733,-41.01586304,-54.72806396,-49.94927063,-42.72952576,-104.3604614,-48.48919067,23.03671112,-106.8630615,-41.13558044,-42.39137268,-42.66970825,29.92752686,-104.6145508,-42.19855042,26.72734985,-95.35003662,32.42459717,-99.46900635,22.17050476,-109.0954346,-41.93134766,-43.71160583,-36.16730042,-43.39456787,-32.41942139
Y Mandibular patch 192,-58.94997559,-55.79932251,-136.7521118,435.9005371,155.0105103,156.414563,-83.33900146,-39.55690918,-55.65437622,-85.40238037,-78.70970459,-139.8889038,-151.4764404,420.8059082,166.3217041,147.5241699,-121.4039063,-136.7733887,174.6651123,174.9327271,47.76521301,36.74801941,38.74030151,40.96639099,40.59890747,52.99286499,47.22677307,25.61723938,36.47150269,27.14048767,41.94301453,44.24541321,30.42756348,35.03940735,-142.8118408,403.013208,135.9096069,156.0033325,-57.7925293,-55.85275879,-47.03071289,-150.1810913,-167.0640259,402.2684082,138.2852539,136.5283447,-162.0260986,-170.4835205,142.3497314,134.9138306,-10.57481613,-9.335392761,47.76749878,-3.380493164,13.12816772
