Name,Koala_NR2143,Koala_NR2145,Koala_NR1355,Koala_NR1499,Koala_NR0862,Koala_NR1098,Koala_NR2104,Koala_NR2105,Koala_NR2106,Koala_NR2127,Koala_NR2128,Koala_NR2112,Koala_NR2097,Koala_NR2102,Koala_NR2103,Koala_NR2137,Koala_NR2138,Koala_NR2139,Koala_Bimbo,Koala_Cascade,Koala_Cindy,Koala_Crockett,Koala_Eddie
Z Dorsal patch 166,-615.645166,-632.3309082,-618.3422852,-632.1597168,-618.8523926,-623.6030762,-552.7746582,-566.0496582,-562.3220215,-567.5701172,-555.3063477,-816.8064941,-813.0023926,-816.7608398,-814.6685059,-811.2354492,-824.7989258,-807.9084473,-1211.804785,-1210.07793,-1248.512891,-1205.208887,-1195.507715
X Dorsal patch 165,62.15864258,-34.7526886,64.89325562,-29.0817627,66.05838013,-21.0523941,80.22155151,-8.078782654,78.00297241,0.050485313,82.45911865,-34.375,-26.55379028,48.5539856,-26.89324341,56.34120483,-28.68934021,63.61126099,15.87200165,-3.288585281,4.812798691,19.29160156,13.83430023
Y Dorsal patch 165,56.79691772,45.04474792,296.4230713,249.9085938,526.994043,509.3274902,56.91143799,38.02051697,276.0848145,272.3796143,516.3484375,67.03579712,300.5633301,268.6343506,547.4033203,509.4263184,744.1397949,755.7042969,86.28534546,77.44365845,165.3186279,82.8947937,80.98070068
Z Dorsal patch 165,-624.3775879,-638.5764648,-627.5592285,-638.9675781,-625.6114746,-635.3300781,-561.5224609,-572.8182129,-567.7895996,-575.6580078,-561.549707,-829.1630859,-824.0201172,-823.1144531,-822.6928711,-819.0464844,-835.0767578,-816.9949219,-1216.762012,-1221.49375,-1257.164648,-1212.167188,-1207.615137
X Dorsal patch 164,59.56405029,-33.51608582,61.2053772,-29.83217773,63.04397583,-23.6256485,77.07836304,-9.664559937,78.01456299,-0.953938103,80.30384521,-34.4574646,-27.97077637,48.33713074,-27.87780457,53.999823,-27.98923645,63.29074707,15.24555664,0.692719793,6.330044174,18.54993134,15.22899933
Y Dorsal patch 164,31.62181702,22.74833832,270.4191162,228.3117188,503.2584473,484.3194336,29.05210876,13.19335327,252.8237793,246.6363037,492.7524902,44.19284973,277.432251,246.2884277,521.7787109,484.0571777,723.3890625,730.889209,63.82017212,56.67971802,143.7430176,57.92481689,57.34229736
Z Dorsal patch 164,-622.773877,-637.865918,-624.91875,-636.5862793,-623.5958008,-631.8333496,-559.1564453,-571.2127441,-567.4227051,-572.4571289,-559.227832,-824.953125,-822.6441406,-821.5506836,-821.2649414,-817.7340332,-830.1451172,-815.1828613,-1216.065332,-1217.946484,-1253.189258,-1209.640625,-1203.606934
X Dorsal patch 163,46.16692505,-45.59741821,48.74836731,-42.57314148,48.9717041,-34.95849304,64.96613159,-21.5726059,64.15811768,-13.22480774,66.19710693,-46.83980408,-40.45953369,34.02663879,-39.33227539,39.90334778,-39.69014893,47.1021759,0.629919052,-17.80604706,-9.671255493,2.878860474,-2.033399963
Y Dorsal patch 163,62.46466675,49.64044189,301.656665,255.1817627,533.5234863,516.4931152,63.30761719,43.73832092,282.2717529,278.7644531,521.2936523,72.55256958,304.0303711,273.9982178,552.4179688,514.9111328,749.8491699,762.7180664,90.60164185,79.15727539,171.1240723,88.52565918,86.69140015
Z Dorsal patch 163,-618.3373047,-632.2350098,-622.1481934,-629.5410156,-619.9807617,-627.320752,-560.1329102,-563.9981445,-563.7273438,-567.7182617,-556.3997559,-818.2358887,-813.0677246,-817.2587891,-812.3987305,-814.2356934,-826.3161133,-810.3210938,-1210.771289,-1216.534277,-1254.938574,-1205.014648,-1198.363281
X Dorsal patch 162,53.18658447,-38.49857178,56.5781189,-36.15199585,55.55700073,-25.95297852,70.41364746,-15.02867584,69.91828003,-9.121028137,75.86807251,-38.60993958,-33.15928345,41.41048279,-33.52671814,47.29723206,-35.35533447,59.70505981,9.672743225,3.344501114,-0.085082883,9.887825012,13.06260071
Y Dorsal patch 162,-38.74107361,-32.25585327,201.9592407,171.3593628,439.2617188,415.3662109,-42.90484314,-47.80916748,194.4439941,180.5762329,423.8881348,-22.28230286,210.9517334,190.4307861,454.7636719,419.1870605,670.6873047,663.8540527,4.124930191,1.434110165,86.29837646,-7.446677399,-7.351699829
Z Dorsal patch 162,-621.2822266,-635.4873047,-620.6619141,-633.6025879,-624.7404785,-624.4078125,-555.6637695,-570.7758789,-565.0450684,-570.2918945,-557.782666,-816.2469238,-815.3564453,-824.4357422,-816.7799316,-813.0532715,-826.8361328,-810.6220703,-1218.523926,-1214.227637,-1253.176953,-1210.090137,-1196.158691
X Dorsal patch 161,52.30142212,-39.029245,54.8880249,-34.94642944,55.39008179,-28.56217346,69.88983154,-15.24577637,70.33546143,-6.679200745,73.04786377,-39.9368042,-33.83015442,40.79820862,-33.70742188,46.65894775,-33.34496155,54.85639038,7.515558624,-8.89944458,-2.830361748,10.7879715,7.289199829
Y Dorsal patch 161,44.508255,33.6992157,283.2893799,239.3898926,514.9353027,496.9390137,43.36641846,25.29491119,264.819165,260.4654053,504.0838379,56.34425659,288.6073242,256.7698242,533.4815918,496.2829102,734.85,742.8347656,74.42746582,65.63093872,155.1127563,70.77136841,69.446698
Z Dorsal patch 161,-618.0949707,-630.7964844,-620.7469727,-629.5331543,-616.9009766,-626.2786621,-556.1557129,-564.7257813,-561.9522949,-565.1822266,-554.520166,-818.6061035,-815.5605469,-816.3337402,-813.7105469,-811.6634766,-824.6770508,-809.4408691,-1210.59834,-1213.436523,-1249.641211,-1203.828027,-1196.511816
X Dorsal patch 160,52.609375,-43.26065674,57.37947388,-39.64649048,53.90006714,-30.45556335,67.80984497,-19.49727783,67.44700928,-10.5446701,72.42277222,-42.81374817,-37.59405518,40.70962524,-35.8089325,44.49064026,-37.61430664,57.49954224,8.514082336,6.102521515,0.634803343,6.351018906,12.62259979
Y Dorsal patch 160,-60.39703369,-50.38671265,178.7046509,149.8325806,416.3757324,389.7802979,-66.76625366,-68.33633423,176.6674316,157.5688477,400.0233887,-43.64247437,186.3479248,171.5872559,432.1302246,397.2395996,651.040625,641.920459,-11.19749908,-18.38627777,67.50852051,-29.66666565,-33.74639893
Z Dorsal patch 160,-627.9479492,-641.0540527,-628.0455566,-639.5081543,-632.7851074,-630.0396973,-562.2871582,-577.8274902,-568.6425781,-578.7661133,-566.7013184,-823.3353516,-822.6621094,-832.1953125,-823.4266602,-819.4542969,-834.0652344,-815.7713379,-1227.282129,-1221.536914,-1257.897656,-1218.4,-1203.679004
X Dorsal patch 16,26.33427429,-61.53881226,29.37286072,-62.18048706,29.45195618,-55.62764893,45.57914429,-41.22636108,48.36689758,-33.76064453,48.80150452,-67.77571411,-62.44597168,16.98315277,-59.9960083,21.45803223,-57.55440674,28.33374329,-17.40315094,-33.07853088,-25.18337097,-16.21139221,-21.5352005
